ELECCIO;ANY;NIVELL;AUTONOMIA;CODI PROVÍNCIA;PROVÍNCIA;CODI COMARCA;COMARCA;CODI MUNICIPI;MUNICIPI;CODI DISTRICTE;DISTRICTE;SIGLES;PARTIT;VOTS PARTITS;% VOTS / VÀLIDS;ESCONS;
A;2006;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;MSR        ;Movimiento Social Republicano                     ;2;0,01;0;
A;2006;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;CiU        ;Convergència i Unió                               ;16.920;37,14;0;
A;2006;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;PSC-CpC    ;PSC-Ciutadans pel Canvi                           ;10.232;22,46;0;
A;2006;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;8.208;18,02;0;
A;2006;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;PP         ;Partit Popular                                    ;4.390;9,64;0;
A;2006;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;ICV-EUiA   ;Iniciativa per Catalunya Verds - EUIA             ;3.242;7,12;0;
A;2006;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;C's        ;Ciutadans-Partido de la Ciudadanía                ;539;1,18;0;
A;2006;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;EV-AV      ;Els Verds-Alternativa Verda                       ;298;0,65;0;
A;2006;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;RC         ;Partit Republicà Català                           ;213;0,47;0;
A;2006;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;CenB       ;Ciudadanos en Blanco                              ;134;0,29;0;
A;2006;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;PACMA      ;Partido Antitaurino contra el maltrato animal     ;129;0,28;0;
A;2006;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;POSI       ;Partit Obrer Socialista Internacionalista         ;93;0,20;0;
A;2006;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;Ei-ADD     ;Escons Insubmisos-Alt. dels Demòcrates Descontents;75;0,16;0;
A;2006;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;PCPC       ;Partit Comunista del Poble de Catalunya           ;72;0,16;0;
A;2006;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;PUM+J      ;Por un Mundo Más Justo                            ;70;0,15;0;
A;2006;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;MSR        ;Movimiento Social Republicano                     ;51;0,11;0;
A;2006;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;AES-DN     ;Plataforma Adelante Cataluña (Alt.Española-DN)    ;35;0,08;0;
A;2006;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;PFiV       ;Partit Família i Vida                             ;27;0,06;0;
A;2006;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;PH         ;Partit Humanista de Catalunya                     ;19;0,04;0;
A;2006;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;CiU        ;Convergència i Unió                               ;16.300;36,73;0;
A;2006;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;PSC-CpC    ;PSC-Ciutadans pel Canvi                           ;11.429;25,75;0;
A;2006;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;7.499;16,90;0;
A;2006;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;ICV-EUiA   ;Iniciativa per Catalunya Verds - EUIA             ;3.925;8,84;0;
A;2006;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;PP         ;Partit Popular                                    ;2.874;6,48;0;
A;2006;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;C's        ;Ciutadans-Partido de la Ciudadanía                ;542;1,22;0;
A;2006;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;EV-EVC     ;Els Verds - Ecologistes i Verds de Catalunya      ;303;0,68;0;
