ELECCIO;ANY;NIVELL;AUTONOMIA;CODI PROVÍNCIA;PROVÍNCIA;CODI COMARCA;COMARCA;CODI MUNICIPI;MUNICIPI;CODI DISTRICTE;DISTRICTE;SIGLES;PARTIT;VOTS PARTITS;% VOTS / VÀLIDS;ESCONS;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;238;Sant Quirze del Vallès                  ;;;PCPC       ;Partit Comunista del Poble de Catalunya           ;13;0,16;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;238;Sant Quirze del Vallès                  ;;;RC         ;Partit Republicà Català                           ;13;0,16;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;238;Sant Quirze del Vallès                  ;;;PH         ;Partit Humanista de Catalunya                     ;10;0,12;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;238;Sant Quirze del Vallès                  ;;;PFiV       ;Partit Família i Vida                             ;8;0,10;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;238;Sant Quirze del Vallès                  ;;;POSI       ;Partit Obrer Socialista Internacionalista         ;5;0,06;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;238;Sant Quirze del Vallès                  ;;;MSR        ;Movimiento Social Republicano                     ;2;0,02;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;238;Sant Quirze del Vallès                  ;;;DECIDEIXCAT;Catalunya Decideix                                ;1;0,01;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;238;Sant Quirze del Vallès                  ;;;PAZUL      ;Carmel/Partido Azul                               ;1;0,01;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;238;Sant Quirze del Vallès                  ;;;AES-DN     ;Plataforma Adelante Cataluña (Alt.Española-DN)    ;0;0,00;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;252;Barberà del Vallès                      ;;;PSC-CpC    ;PSC-Ciutadans pel Canvi                           ;4.169;37,16;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;252;Barberà del Vallès                      ;;;CiU        ;Convergència i Unió                               ;2.301;20,51;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;252;Barberà del Vallès                      ;;;PP         ;Partit Popular                                    ;1.484;13,23;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;252;Barberà del Vallès                      ;;;ICV-EUiA   ;Iniciativa per Catalunya Verds - EUIA             ;1.295;11,54;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;252;Barberà del Vallès                      ;;;ERC        ;Esquerra Republicana de Catalunya                 ;936;8,34;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;252;Barberà del Vallès                      ;;;C's        ;Ciutadans-Partido de la Ciudadanía                ;452;4,03;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;252;Barberà del Vallès                      ;;;EV-EVC     ;Els Verds - Ecologistes i Verds de Catalunya      ;151;1,35;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;252;Barberà del Vallès                      ;;;PACMA      ;Partido Antitaurino contra el maltrato animal     ;82;0,73;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;252;Barberà del Vallès                      ;;;POSI       ;Partit Obrer Socialista Internacionalista         ;25;0,22;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;252;Barberà del Vallès                      ;;;Ei-ADD     ;Escons Insubmisos-Alt. dels Demòcrates Descontents;25;0,22;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;252;Barberà del Vallès                      ;;;RC         ;Partit Republicà Català                           ;23;0,20;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;252;Barberà del Vallès                      ;;;PCPC       ;Partit Comunista del Poble de Catalunya           ;21;0,19;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;252;Barberà del Vallès                      ;;;AES-DN     ;Plataforma Adelante Cataluña (Alt.Española-DN)    ;17;0,15;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;252;Barberà del Vallès                      ;;;PH         ;Partit Humanista de Catalunya                     ;12;0,11;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;252;Barberà del Vallès                      ;;;MSR        ;Movimiento Social Republicano                     ;8;0,07;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;252;Barberà del Vallès                      ;;;PFiV       ;Partit Família i Vida                             ;8;0,07;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;252;Barberà del Vallès                      ;;;PAZUL      ;Carmel/Partido Azul                               ;7;0,06;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;252;Barberà del Vallès                      ;;;DECIDEIXCAT;Catalunya Decideix                                ;2;0,02;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;260;Santa Perpètua de Mogoda                ;;;PSC-CpC    ;PSC-Ciutadans pel Canvi                           ;2.776;32,73;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;260;Santa Perpètua de Mogoda                ;;;CiU        ;Convergència i Unió                               ;2.132;25,14;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;260;Santa Perpètua de Mogoda                ;;;ICV-EUiA   ;Iniciativa per Catalunya Verds - EUIA             ;980;11,56;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;260;Santa Perpètua de Mogoda                ;;;PP         ;Partit Popular                                    ;977;11,52;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;260;Santa Perpètua de Mogoda                ;;;ERC        ;Esquerra Republicana de Catalunya                 ;972;11,46;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;260;Santa Perpètua de Mogoda                ;;;C's        ;Ciutadans-Partido de la Ciudadanía                ;285;3,36;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;260;Santa Perpètua de Mogoda                ;;;PACMA      ;Partido Antitaurino contra el maltrato animal     ;49;0,58;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;260;Santa Perpètua de Mogoda                ;;;EV-EVC     ;Els Verds - Ecologistes i Verds de Catalunya      ;48;0,57;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;260;Santa Perpètua de Mogoda                ;;;Ei-ADD     ;Escons Insubmisos-Alt. dels Demòcrates Descontents;16;0,19;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;260;Santa Perpètua de Mogoda                ;;;RC         ;Partit Republicà Català                           ;16;0,19;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;260;Santa Perpètua de Mogoda                ;;;POSI       ;Partit Obrer Socialista Internacionalista         ;15;0,18;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;260;Santa Perpètua de Mogoda                ;;;PCPC       ;Partit Comunista del Poble de Catalunya           ;10;0,12;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;260;Santa Perpètua de Mogoda                ;;;PH         ;Partit Humanista de Catalunya                     ;10;0,12;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;260;Santa Perpètua de Mogoda                ;;;AES-DN     ;Plataforma Adelante Cataluña (Alt.Española-DN)    ;6;0,07;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;260;Santa Perpètua de Mogoda                ;;;PFiV       ;Partit Família i Vida                             ;5;0,06;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;260;Santa Perpètua de Mogoda                ;;;MSR        ;Movimiento Social Republicano                     ;4;0,05;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;260;Santa Perpètua de Mogoda                ;;;PAZUL      ;Carmel/Partido Azul                               ;4;0,05;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;260;Santa Perpètua de Mogoda                ;;;DECIDEIXCAT;Catalunya Decideix                                ;2;0,02;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;266;Cerdanyola del Vallès                   ;;;PSC-CpC    ;PSC-Ciutadans pel Canvi                           ;7.560;31,40;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;266;Cerdanyola del Vallès                   ;;;CiU        ;Convergència i Unió                               ;5.592;23,23;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;266;Cerdanyola del Vallès                   ;;;ICV-EUiA   ;Iniciativa per Catalunya Verds - EUIA             ;3.134;13,02;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;266;Cerdanyola del Vallès                   ;;;PP         ;Partit Popular                                    ;2.722;11,31;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;266;Cerdanyola del Vallès                   ;;;ERC        ;Esquerra Republicana de Catalunya                 ;2.342;9,73;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;266;Cerdanyola del Vallès                   ;;;C's        ;Ciutadans-Partido de la Ciudadanía                ;1.627;6,76;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;266;Cerdanyola del Vallès                   ;;;EV-EVC     ;Els Verds - Ecologistes i Verds de Catalunya      ;199;0,83;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;266;Cerdanyola del Vallès                   ;;;PACMA      ;Partido Antitaurino contra el maltrato animal     ;126;0,52;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;266;Cerdanyola del Vallès                   ;;;POSI       ;Partit Obrer Socialista Internacionalista         ;45;0,19;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;266;Cerdanyola del Vallès                   ;;;Ei-ADD     ;Escons Insubmisos-Alt. dels Demòcrates Descontents;45;0,19;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;266;Cerdanyola del Vallès                   ;;;RC         ;Partit Republicà Català                           ;41;0,17;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;266;Cerdanyola del Vallès                   ;;;PCPC       ;Partit Comunista del Poble de Catalunya           ;33;0,14;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;266;Cerdanyola del Vallès                   ;;;PFiV       ;Partit Família i Vida                             ;27;0,11;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;266;Cerdanyola del Vallès                   ;;;DECIDEIXCAT;Catalunya Decideix                                ;25;0,10;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;266;Cerdanyola del Vallès                   ;;;PH         ;Partit Humanista de Catalunya                     ;24;0,10;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;266;Cerdanyola del Vallès                   ;;;AES-DN     ;Plataforma Adelante Cataluña (Alt.Española-DN)    ;23;0,10;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;266;Cerdanyola del Vallès                   ;;;MSR        ;Movimiento Social Republicano                     ;7;0,03;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;266;Cerdanyola del Vallès                   ;;;PAZUL      ;Carmel/Partido Azul                               ;6;0,02;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;267;Sentmenat                               ;;;CiU        ;Convergència i Unió                               ;1.019;32,59;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;267;Sentmenat                               ;;;PSC-CpC    ;PSC-Ciutadans pel Canvi                           ;912;29,17;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;267;Sentmenat                               ;;;ERC        ;Esquerra Republicana de Catalunya                 ;430;13,75;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;267;Sentmenat                               ;;;ICV-EUiA   ;Iniciativa per Catalunya Verds - EUIA             ;342;10,94;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;267;Sentmenat                               ;;;PP         ;Partit Popular                                    ;182;5,82;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;267;Sentmenat                               ;;;C's        ;Ciutadans-Partido de la Ciudadanía                ;58;1,85;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;267;Sentmenat                               ;;;AES-DN     ;Plataforma Adelante Cataluña (Alt.Española-DN)    ;34;1,09;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;267;Sentmenat                               ;;;PACMA      ;Partido Antitaurino contra el maltrato animal     ;25;0,80;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;267;Sentmenat                               ;;;EV-EVC     ;Els Verds - Ecologistes i Verds de Catalunya      ;22;0,70;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;267;Sentmenat                               ;;;POSI       ;Partit Obrer Socialista Internacionalista         ;12;0,38;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;267;Sentmenat                               ;;;RC         ;Partit Republicà Català                           ;8;0,26;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;267;Sentmenat                               ;;;Ei-ADD     ;Escons Insubmisos-Alt. dels Demòcrates Descontents;7;0,22;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;267;Sentmenat                               ;;;PFiV       ;Partit Família i Vida                             ;6;0,19;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;267;Sentmenat                               ;;;PH         ;Partit Humanista de Catalunya                     ;3;0,10;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;267;Sentmenat                               ;;;DECIDEIXCAT;Catalunya Decideix                                ;2;0,06;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;267;Sentmenat                               ;;;PCPC       ;Partit Comunista del Poble de Catalunya           ;2;0,06;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;267;Sentmenat                               ;;;MSR        ;Movimiento Social Republicano                     ;1;0,03;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;267;Sentmenat                               ;;;PAZUL      ;Carmel/Partido Azul                               ;0;0,00;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;279;Terrassa                                ;;;PSC-CpC    ;PSC-Ciutadans pel Canvi                           ;23.479;30,88;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;279;Terrassa                                ;;;CiU        ;Convergència i Unió                               ;22.813;30,00;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;279;Terrassa                                ;;;ERC        ;Esquerra Republicana de Catalunya                 ;8.895;11,70;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;279;Terrassa                                ;;;ICV-EUiA   ;Iniciativa per Catalunya Verds - EUIA             ;7.604;10,00;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;279;Terrassa                                ;;;PP         ;Partit Popular                                    ;7.451;9,80;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;279;Terrassa                                ;;;C's        ;Ciutadans-Partido de la Ciudadanía                ;2.186;2,87;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;279;Terrassa                                ;;;EV-EVC     ;Els Verds - Ecologistes i Verds de Catalunya      ;693;0,91;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;279;Terrassa                                ;;;PACMA      ;Partido Antitaurino contra el maltrato animal     ;335;0,44;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;279;Terrassa                                ;;;Ei-ADD     ;Escons Insubmisos-Alt. dels Demòcrates Descontents;194;0,26;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;279;Terrassa                                ;;;PCPC       ;Partit Comunista del Poble de Catalunya           ;158;0,21;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;279;Terrassa                                ;;;RC         ;Partit Republicà Català                           ;138;0,18;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;279;Terrassa                                ;;;PFiV       ;Partit Família i Vida                             ;135;0,18;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;279;Terrassa                                ;;;POSI       ;Partit Obrer Socialista Internacionalista         ;125;0,16;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;279;Terrassa                                ;;;AES-DN     ;Plataforma Adelante Cataluña (Alt.Española-DN)    ;76;0,10;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;279;Terrassa                                ;;;PH         ;Partit Humanista de Catalunya                     ;52;0,07;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;279;Terrassa                                ;;;MSR        ;Movimiento Social Republicano                     ;29;0,04;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;279;Terrassa                                ;;;PAZUL      ;Carmel/Partido Azul                               ;21;0,03;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;279;Terrassa                                ;;;DECIDEIXCAT;Catalunya Decideix                                ;19;0,02;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;290;Ullastrell                              ;;;CiU        ;Convergència i Unió                               ;371;44,97;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;290;Ullastrell                              ;;;ERC        ;Esquerra Republicana de Catalunya                 ;184;22,30;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;290;Ullastrell                              ;;;PSC-CpC    ;PSC-Ciutadans pel Canvi                           ;129;15,64;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;290;Ullastrell                              ;;;ICV-EUiA   ;Iniciativa per Catalunya Verds - EUIA             ;72;8,73;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;290;Ullastrell                              ;;;PP         ;Partit Popular                                    ;26;3,15;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;290;Ullastrell                              ;;;C's        ;Ciutadans-Partido de la Ciudadanía                ;15;1,82;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;290;Ullastrell                              ;;;EV-EVC     ;Els Verds - Ecologistes i Verds de Catalunya      ;6;0,73;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;290;Ullastrell                              ;;;PACMA      ;Partido Antitaurino contra el maltrato animal     ;3;0,36;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;290;Ullastrell                              ;;;Ei-ADD     ;Escons Insubmisos-Alt. dels Demòcrates Descontents;2;0,24;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;290;Ullastrell                              ;;;RC         ;Partit Republicà Català                           ;2;0,24;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;290;Ullastrell                              ;;;PFiV       ;Partit Família i Vida                             ;1;0,12;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;290;Ullastrell                              ;;;PAZUL      ;Carmel/Partido Azul                               ;0;0,00;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;290;Ullastrell                              ;;;PH         ;Partit Humanista de Catalunya                     ;0;0,00;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;290;Ullastrell                              ;;;POSI       ;Partit Obrer Socialista Internacionalista         ;0;0,00;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;290;Ullastrell                              ;;;AES-DN     ;Plataforma Adelante Cataluña (Alt.Española-DN)    ;0;0,00;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;290;Ullastrell                              ;;;DECIDEIXCAT;Catalunya Decideix                                ;0;0,00;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;290;Ullastrell                              ;;;MSR        ;Movimiento Social Republicano                     ;0;0,00;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;290;Ullastrell                              ;;;PCPC       ;Partit Comunista del Poble de Catalunya           ;0;0,00;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;291;Vacarisses                              ;;;CiU        ;Convergència i Unió                               ;562;29,59;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;291;Vacarisses                              ;;;PSC-CpC    ;PSC-Ciutadans pel Canvi                           ;476;25,07;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;291;Vacarisses                              ;;;ERC        ;Esquerra Republicana de Catalunya                 ;355;18,69;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;291;Vacarisses                              ;;;ICV-EUiA   ;Iniciativa per Catalunya Verds - EUIA             ;199;10,48;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;291;Vacarisses                              ;;;PP         ;Partit Popular                                    ;175;9,22;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;291;Vacarisses                              ;;;C's        ;Ciutadans-Partido de la Ciudadanía                ;40;2,11;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;291;Vacarisses                              ;;;EV-EVC     ;Els Verds - Ecologistes i Verds de Catalunya      ;23;1,21;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;291;Vacarisses                              ;;;PACMA      ;Partido Antitaurino contra el maltrato animal     ;13;0,68;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;291;Vacarisses                              ;;;AES-DN     ;Plataforma Adelante Cataluña (Alt.Española-DN)    ;7;0,37;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;291;Vacarisses                              ;;;PCPC       ;Partit Comunista del Poble de Catalunya           ;5;0,26;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;291;Vacarisses                              ;;;POSI       ;Partit Obrer Socialista Internacionalista         ;4;0,21;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;291;Vacarisses                              ;;;Ei-ADD     ;Escons Insubmisos-Alt. dels Demòcrates Descontents;3;0,16;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;291;Vacarisses                              ;;;RC         ;Partit Republicà Català                           ;3;0,16;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;291;Vacarisses                              ;;;PAZUL      ;Carmel/Partido Azul                               ;1;0,05;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;291;Vacarisses                              ;;;PH         ;Partit Humanista de Catalunya                     ;0;0,00;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;291;Vacarisses                              ;;;DECIDEIXCAT;Catalunya Decideix                                ;0;0,00;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;291;Vacarisses                              ;;;MSR        ;Movimiento Social Republicano                     ;0;0,00;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;291;Vacarisses                              ;;;PFiV       ;Partit Família i Vida                             ;0;0,00;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;300;Viladecavalls                           ;;;CiU        ;Convergència i Unió                               ;928;31,77;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;300;Viladecavalls                           ;;;PSC-CpC    ;PSC-Ciutadans pel Canvi                           ;768;26,29;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;300;Viladecavalls                           ;;;ERC        ;Esquerra Republicana de Catalunya                 ;391;13,39;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;300;Viladecavalls                           ;;;ICV-EUiA   ;Iniciativa per Catalunya Verds - EUIA             ;329;11,26;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;300;Viladecavalls                           ;;;PP         ;Partit Popular                                    ;251;8,59;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;300;Viladecavalls                           ;;;C's        ;Ciutadans-Partido de la Ciudadanía                ;78;2,67;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;300;Viladecavalls                           ;;;EV-EVC     ;Els Verds - Ecologistes i Verds de Catalunya      ;56;1,92;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;300;Viladecavalls                           ;;;PACMA      ;Partido Antitaurino contra el maltrato animal     ;17;0,58;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;300;Viladecavalls                           ;;;RC         ;Partit Republicà Català                           ;9;0,31;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;300;Viladecavalls                           ;;;POSI       ;Partit Obrer Socialista Internacionalista         ;4;0,14;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;300;Viladecavalls                           ;;;AES-DN     ;Plataforma Adelante Cataluña (Alt.Española-DN)    ;3;0,10;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;300;Viladecavalls                           ;;;PCPC       ;Partit Comunista del Poble de Catalunya           ;3;0,10;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;300;Viladecavalls                           ;;;PFiV       ;Partit Família i Vida                             ;3;0,10;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;300;Viladecavalls                           ;;;MSR        ;Movimiento Social Republicano                     ;2;0,07;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;300;Viladecavalls                           ;;;Ei-ADD     ;Escons Insubmisos-Alt. dels Demòcrates Descontents;2;0,07;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;300;Viladecavalls                           ;;;PAZUL      ;Carmel/Partido Azul                               ;2;0,07;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;300;Viladecavalls                           ;;;PH         ;Partit Humanista de Catalunya                     ;1;0,03;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;300;Viladecavalls                           ;;;DECIDEIXCAT;Catalunya Decideix                                ;1;0,03;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;904;Badia del Vallès                        ;;;PSC-CpC    ;PSC-Ciutadans pel Canvi                           ;1.970;44,73;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;904;Badia del Vallès                        ;;;PP         ;Partit Popular                                    ;642;14,58;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;904;Badia del Vallès                        ;;;CiU        ;Convergència i Unió                               ;605;13,74;0;
A;2006;MU;Catalunya                ;8;Barcelona;40;Vallès Occidental             ;904;Badia del Vallès                        ;;;ICV-EUiA   ;Iniciativa per Catalunya Verds - EUIA             ;442;10,04;0;
