"ELECCIO";"ANY";"NIVELL";"AUTONOMIA";"CODI PROVÍNCIA";"PROVÍNCIA";"CODI COMARCA";"COMARCA";"CODI MUNICIPI";"MUNICIPI";"CODI DISTRICTE";"DISTRICTE";"CENS ELECTORAL";"VOTANTS";"% VOTANTS";"ABSTENCIÓ";"% ABSTENCIÓ";"VOTS NULS";"% VOTS NULS";"VOTS EN BLANC";"% VOTS EN BLANC";"VOTS A CANDIDATURES";"% VOTS A CANDIDATURES";"VOTS VÀLIDS";"% VOTS VÀLIDS"
"A";2003;"MU";"Catalunya                ";8;"Barcelona";6;"Anoia                         ";103;"Jorba                                   ";"";"";474;347;73,21;127;26,79;0;0,00;7;2,02;340;97,98;347;100,00
"A";2003;"MU";"Catalunya                ";8;"Barcelona";6;"Anoia                         ";104;"Llacuna, la                             ";"";"";715;514;71,89;201;28,11;1;0,19;2;0,39;511;99,42;513;99,81
"A";2003;"MU";"Catalunya                ";8;"Barcelona";41;"Vallès Oriental               ";105;"Llagosta, la                            ";"";"";9.977;5.516;55,29;4.461;44,71;20;0,36;49;0,89;5.447;98,75;5.496;99,64
"A";2003;"MU";"Catalunya                ";8;"Barcelona";41;"Vallès Oriental               ";106;"Llinars del Vallès                      ";"";"";5.904;3.640;61,65;2.264;38,35;15;0,41;33;0,91;3.592;98,68;3.625;99,59
"A";2003;"MU";"Catalunya                ";8;"Barcelona";41;"Vallès Oriental               ";107;"Lliçà d'Amunt                           ";"";"";9.245;5.196;56,20;4.049;43,80;12;0,23;38;0,73;5.146;99,04;5.184;99,77
"A";2003;"MU";"Catalunya                ";8;"Barcelona";41;"Vallès Oriental               ";108;"Lliçà de Vall                           ";"";"";4.480;2.839;63,37;1.641;36,63;8;0,28;12;0,42;2.819;99,30;2.831;99,72
"A";2003;"MU";"Catalunya                ";8;"Barcelona";24;"Osona                         ";109;"Lluçà                                   ";"";"";214;171;79,91;43;20,09;0;0,00;0;0,00;171;100,00;171;100,00
"A";2003;"MU";"Catalunya                ";8;"Barcelona";21;"Maresme                       ";110;"Malgrat de Mar                          ";"";"";12.076;7.280;60,28;4.796;39,72;18;0,25;44;0,60;7.218;99,15;7.262;99,75
"A";2003;"MU";"Catalunya                ";8;"Barcelona";24;"Osona                         ";111;"Malla                                   ";"";"";212;190;89,62;22;10,38;0;0,00;3;1,58;187;98,42;190;100,00
"A";2003;"MU";"Catalunya                ";8;"Barcelona";24;"Osona                         ";112;"Manlleu                                 ";"";"";13.253;9.225;69,61;4.028;30,39;15;0,16;68;0,74;9.142;99,10;9.210;99,84
