ELECCIO;ANY;NIVELL;AUTONOMIA;CODI PROVÍNCIA;PROVÍNCIA;CODI COMARCA;COMARCA;CODI MUNICIPI;MUNICIPI;CODI DISTRICTE;NOM;SIGLES;PARTIT;VOTS PARTITS;% VOTS / VÀLIDS;ESCONS
A;2010;CA;Catalunya;;;;;;;;;CiU        ;Convergència i Unió                               ;1.202.830;38,43;62
A;2010;CA;Catalunya;;;;;;;;;PSC-PSOE   ;Partit dels Socialistes de Catalunya-PSOE         ;575.233;18,38;28
A;2010;CA;Catalunya;;;;;;;;;PP         ;Partit Popular                                    ;387.066;12,37;18
A;2010;CA;Catalunya;;;;;;;;;ICV-EUiA   ;Iniciativa per Catalunya Verds - EUIA             ;230.824;7,37;10
A;2010;CA;Catalunya;;;;;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;219.173;7,00;10
A;2010;CA;Catalunya;;;;;;;;;C's        ;Ciutadans-Partido de la Ciudadanía                ;106.154;3,39;3
A;2010;CA;Catalunya;;;;;;;;;SI;Solidaritat Catalana per la Independència;102.921;3,29;4
A;2010;CA;Catalunya;;;;;;;;;PxC        ;Plataforma per Catalunya                          ;75.134;2,40;0
A;2010;CA;Catalunya;;;;;;;;;RI.cat;Reagrupament Independentista;39.834;1,27;0
A;2010;CA;Catalunya;;;;;;;;;Eb-CenB;Escons en blanc-Ciudadanos en Blanco;18.679;0,60;0
A;2010;CA;Catalunya;;;;;;;;;EV-GVE      ;Els Verds - Grup Verd Europeu                     ;15.784;0,50;0
A;2010;CA;Catalunya;;;;;;;;;PACMA;Partit Antitaurí Contra el Maltractament Animal;14.238;0,45;0
A;2010;CA;Catalunya;;;;;;;;;DES DE BAIX;Des de Baix;7.189;0,23;0
A;2010;CA;Catalunya;;;;;;;;;CORI;Coordinadora Reusenca Independent;6.990;0,22;0
A;2010;CA;Catalunya;;;;;;;;;PIRATA.CAT;Pirates de Catalunya;6.451;0,21;0
A;2010;CA;Catalunya;;;;;;;;;UPyD;Unión, Progreso y Democracia;5.418;0,17;0
A;2010;CA;Catalunya;;;;;;;;;PDLPEA     ;Partido de los Pensionistas en Acción             ;3.330;0,11;0
A;2010;CA;Catalunya;;;;;;;;;PCPC       ;Partit Comunista del Poble de Catalunya           ;3.028;0,10;0
A;2010;CA;Catalunya;;;;;;;;;ALTERNATIVA;Alternativa de Govern;2.208;0,07;0
A;2010;CA;Catalunya;;;;;;;;;PFiV       ;Partit Família i Vida                             ;2.201;0,07;0
A;2010;CA;Catalunya;;;;;;;;;PUM+J      ;Por un Mundo Más Justo                            ;2.100;0,07;0
A;2010;CA;Catalunya;;;;;;;;;POSI       ;Partit Obrer Socialista Internacionalista         ;1.920;0,06;0
A;2010;CA;Catalunya;;;;;;;;;FE-JONS    ;Falange Española de las J.O.N.S.                  ;1.760;0,06;0
A;2010;CA;Catalunya;;;;;;;;;PRE-IR;Partit Republicà d'Esquerra-Izquierda Republicana;1.547;0,05;0
A;2010;CA;Catalunya;;;;;;;;;PCAS;Partido Castellano;1.066;0,03;0
A;2010;CA;Catalunya;;;;;;;;;PH         ;Partit Humanista                                  ;908;0,03;0
A;2010;CA;Catalunya;;;;;;;;;U.C.E.     ;Unificació Comunista d'Espanya                    ;904;0,03;0
A;2010;CA;Catalunya;;;;;;;;;PDR.CAT;Pagesos per la Dignitat Rural Catalana;824;0,03;0
A;2010;CA;Catalunya;;;;;;;;;MSR        ;Movimiento Social Republicano                     ;788;0,03;0
A;2010;CA;Catalunya;;;;;;;;;GN;Gent Nostra;597;0,02;0
A;2010;CA;Catalunya;;;;;;;;;GLBTH/TSI;P.Gay, Lésbico, Bisexual, Transexual i Heterosexual;498;0,02;0
A;2010;CA;Catalunya;;;;;;;;;PxCat      ;Partit per Catalunya                              ;314;0,01;0
A;2010;CA;Catalunya;;;;;;;;;CDS;Centro Democràtico y Social;218;0,01;0
A;2010;CA;Catalunya;;;;;;;;;BLOC.S.C;Bloc Sobiranista Català;187;0,01;0
A;2010;CA;Catalunya;;;;;;;;;PAR;Partido Aragonés;98;0,00;0
A;2010;CA;Catalunya;;;;;;;;;SAIn       ;Solidaridad y Autogestión Internacionalista       ;82;0,00;0
A;2010;CA;Catalunya;;;;;;;;;ALS;Alternativa Liberal Social;54;0,00;0
A;2010;CA;Catalunya;;;;;;;;;P.J.P;Partit de Justícia i Progrés;49;0,00;0
A;2010;CA;Catalunya;;;;;;;;;DW;DemocraticaWeb;46;0,00;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;CiU        ;Convergència i Unió                               ;8.183;44,39;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;PSC-PSOE   ;Partit dels Socialistes de Catalunya-PSOE         ;2.856;15,49;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;1.679;9,11;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;PP         ;Partit Popular                                    ;1.556;8,44;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;SI;Solidaritat Catalana per la Independència;1.150;6,24;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;ICV-EUiA   ;Iniciativa per Catalunya Verds - EUIA             ;931;5,05;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;RI.cat;Reagrupament Independentista;413;2,24;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;PxC        ;Plataforma per Catalunya                          ;359;1,95;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;C's        ;Ciutadans-Partido de la Ciudadanía                ;285;1,55;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;CORI;Coordinadora Reusenca Independent;100;0,54;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;EV-GVE      ;Els Verds - Grup Verd Europeu                     ;91;0,49;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;PACMA;Partit Antitaurí Contra el Maltractament Animal;69;0,37;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;Eb-CenB;Escons en blanc-Ciudadanos en Blanco;65;0,35;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;PIRATA.CAT;Pirates de Catalunya;46;0,25;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;PRE-IR;Partit Republicà d'Esquerra-Izquierda Republicana;20;0,11;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;PDLPEA     ;Partido de los Pensionistas en Acción             ;17;0,09;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;DES DE BAIX;Des de Baix;16;0,09;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;POSI       ;Partit Obrer Socialista Internacionalista         ;14;0,08;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;GLBTH/TSI;P.Gay, Lésbico, Bisexual, Transexual i Heterosexual;13;0,07;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;PFiV       ;Partit Família i Vida                             ;12;0,07;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;UPyD;Unión, Progreso y Democracia;12;0,07;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;PCPC       ;Partit Comunista del Poble de Catalunya           ;11;0,06;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;PUM+J      ;Por un Mundo Más Justo                            ;9;0,05;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;CDS;Centro Democràtico y Social;9;0,05;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;FE-JONS    ;Falange Española de las J.O.N.S.                  ;9;0,05;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;SAIn       ;Solidaridad y Autogestión Internacionalista       ;8;0,04;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;DW;DemocraticaWeb;6;0,03;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;MSR        ;Movimiento Social Republicano                     ;6;0,03;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;U.C.E.     ;Unificació Comunista d'Espanya                    ;4;0,02;0
A;2010;CO;Catalunya;;;1;Alt Camp;;;;;ALS;Alternativa Liberal Social;4;0,02;0
A;2010;CO;Catalunya;;;2;Alt Empordà;;;;;CiU        ;Convergència i Unió                               ;21.319;44,28;0
A;2010;CO;Catalunya;;;2;Alt Empordà;;;;;PSC-PSOE   ;Partit dels Socialistes de Catalunya-PSOE         ;6.794;14,11;0
A;2010;CO;Catalunya;;;2;Alt Empordà;;;;;PP         ;Partit Popular                                    ;5.743;11,93;0
A;2010;CO;Catalunya;;;2;Alt Empordà;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;4.099;8,51;0
A;2010;CO;Catalunya;;;2;Alt Empordà;;;;;SI;Solidaritat Catalana per la Independència;2.347;4,88;0
A;2010;CO;Catalunya;;;2;Alt Empordà;;;;;ICV-EUiA   ;Iniciativa per Catalunya Verds - EUIA             ;1.960;4,07;0
A;2010;CO;Catalunya;;;2;Alt Empordà;;;;;PxC        ;Plataforma per Catalunya                          ;1.207;2,51;0
A;2010;CO;Catalunya;;;2;Alt Empordà;;;;;RI.cat;Reagrupament Independentista;993;2,06;0
A;2010;CO;Catalunya;;;2;Alt Empordà;;;;;C's        ;Ciutadans-Partido de la Ciudadanía                ;951;1,98;0
A;2010;CO;Catalunya;;;2;Alt Empordà;;;;;Eb-CenB;Escons en blanc-Ciudadanos en Blanco;279;0,58;0
A;2010;CO;Catalunya;;;2;Alt Empordà;;;;;EV-GVE      ;Els Verds - Grup Verd Europeu                     ;226;0,47;0
A;2010;CO;Catalunya;;;2;Alt Empordà;;;;;PACMA;Partit Antitaurí Contra el Maltractament Animal;141;0,29;0
A;2010;CO;Catalunya;;;2;Alt Empordà;;;;;MSR        ;Movimiento Social Republicano                     ;116;0,24;0
A;2010;CO;Catalunya;;;2;Alt Empordà;;;;;PDR.CAT;Pagesos per la Dignitat Rural Catalana;100;0,21;0
A;2010;CO;Catalunya;;;2;Alt Empordà;;;;;PIRATA.CAT;Pirates de Catalunya;100;0,21;0
A;2010;CO;Catalunya;;;2;Alt Empordà;;;;;DES DE BAIX;Des de Baix;74;0,15;0
A;2010;CO;Catalunya;;;2;Alt Empordà;;;;;GLBTH/TSI;P.Gay, Lésbico, Bisexual, Transexual i Heterosexual;66;0,14;0
A;2010;CO;Catalunya;;;2;Alt Empordà;;;;;CORI;Coordinadora Reusenca Independent;52;0,11;0
A;2010;CO;Catalunya;;;2;Alt Empordà;;;;;FE-JONS    ;Falange Española de las J.O.N.S.                  ;46;0,10;0
A;2010;CO;Catalunya;;;2;Alt Empordà;;;;;PCPC       ;Partit Comunista del Poble de Catalunya           ;43;0,09;0
A;2010;CO;Catalunya;;;2;Alt Empordà;;;;;POSI       ;Partit Obrer Socialista Internacionalista         ;37;0,08;0
A;2010;CO;Catalunya;;;2;Alt Empordà;;;;;PDLPEA     ;Partido de los Pensionistas en Acción             ;35;0,07;0
A;2010;CO;Catalunya;;;2;Alt Empordà;;;;;PRE-IR;Partit Republicà d'Esquerra-Izquierda Republicana;35;0,07;0
A;2010;CO;Catalunya;;;2;Alt Empordà;;;;;UPyD;Unión, Progreso y Democracia;26;0,05;0
A;2010;CO;Catalunya;;;2;Alt Empordà;;;;;PFiV       ;Partit Família i Vida                             ;17;0,04;0
A;2010;CO;Catalunya;;;2;Alt Empordà;;;;;U.C.E.     ;Unificació Comunista d'Espanya                    ;10;0,02;0
A;2010;CO;Catalunya;;;3;Alt Penedès;;;;;CiU        ;Convergència i Unió                               ;20.014;42,76;0
A;2010;CO;Catalunya;;;3;Alt Penedès;;;;;PSC-PSOE   ;Partit dels Socialistes de Catalunya-PSOE         ;7.980;17,05;0
A;2010;CO;Catalunya;;;3;Alt Penedès;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;4.015;8,58;0
A;2010;CO;Catalunya;;;3;Alt Penedès;;;;;PP         ;Partit Popular                                    ;3.731;7,97;0
A;2010;CO;Catalunya;;;3;Alt Penedès;;;;;ICV-EUiA   ;Iniciativa per Catalunya Verds - EUIA             ;3.091;6,60;0
A;2010;CO;Catalunya;;;3;Alt Penedès;;;;;SI;Solidaritat Catalana per la Independència;2.267;4,84;0
A;2010;CO;Catalunya;;;3;Alt Penedès;;;;;PxC        ;Plataforma per Catalunya                          ;1.210;2,59;0
A;2010;CO;Catalunya;;;3;Alt Penedès;;;;;C's        ;Ciutadans-Partido de la Ciudadanía                ;875;1,87;0
A;2010;CO;Catalunya;;;3;Alt Penedès;;;;;RI.cat;Reagrupament Independentista;872;1,86;0
A;2010;CO;Catalunya;;;3;Alt Penedès;;;;;PACMA;Partit Antitaurí Contra el Maltractament Animal;237;0,51;0
A;2010;CO;Catalunya;;;3;Alt Penedès;;;;;Eb-CenB;Escons en blanc-Ciudadanos en Blanco;218;0,47;0
A;2010;CO;Catalunya;;;3;Alt Penedès;;;;;EV-GVE      ;Els Verds - Grup Verd Europeu                     ;211;0,45;0
A;2010;CO;Catalunya;;;3;Alt Penedès;;;;;CORI;Coordinadora Reusenca Independent;148;0,32;0
A;2010;CO;Catalunya;;;3;Alt Penedès;;;;;DES DE BAIX;Des de Baix;132;0,28;0
A;2010;CO;Catalunya;;;3;Alt Penedès;;;;;PIRATA.CAT;Pirates de Catalunya;117;0,25;0
A;2010;CO;Catalunya;;;3;Alt Penedès;;;;;PDLPEA     ;Partido de los Pensionistas en Acción             ;70;0,15;0
A;2010;CO;Catalunya;;;3;Alt Penedès;;;;;PCPC       ;Partit Comunista del Poble de Catalunya           ;37;0,08;0
A;2010;CO;Catalunya;;;3;Alt Penedès;;;;;PUM+J      ;Por un Mundo Más Justo                            ;33;0,07;0
A;2010;CO;Catalunya;;;3;Alt Penedès;;;;;FE-JONS    ;Falange Española de las J.O.N.S.                  ;30;0,06;0
A;2010;CO;Catalunya;;;3;Alt Penedès;;;;;POSI       ;Partit Obrer Socialista Internacionalista         ;29;0,06;0
A;2010;CO;Catalunya;;;3;Alt Penedès;;;;;ALTERNATIVA;Alternativa de Govern;28;0,06;0
A;2010;CO;Catalunya;;;3;Alt Penedès;;;;;UPyD;Unión, Progreso y Democracia;25;0,05;0
A;2010;CO;Catalunya;;;3;Alt Penedès;;;;;PRE-IR;Partit Republicà d'Esquerra-Izquierda Republicana;23;0,05;0
A;2010;CO;Catalunya;;;3;Alt Penedès;;;;;PCAS;Partido Castellano;14;0,03;0
A;2010;CO;Catalunya;;;3;Alt Penedès;;;;;PFiV       ;Partit Família i Vida                             ;13;0,03;0
A;2010;CO;Catalunya;;;3;Alt Penedès;;;;;GN;Gent Nostra;12;0,03;0
A;2010;CO;Catalunya;;;3;Alt Penedès;;;;;MSR        ;Movimiento Social Republicano                     ;10;0,02;0
A;2010;CO;Catalunya;;;3;Alt Penedès;;;;;PH         ;Partit Humanista                                  ;7;0,01;0
A;2010;CO;Catalunya;;;3;Alt Penedès;;;;;U.C.E.     ;Unificació Comunista d'Espanya                    ;3;0,01;0
A;2010;CO;Catalunya;;;4;Alt Urgell;;;;;CiU        ;Convergència i Unió                               ;4.848;51,63;0
A;2010;CO;Catalunya;;;4;Alt Urgell;;;;;PSC-PSOE   ;Partit dels Socialistes de Catalunya-PSOE         ;1.373;14,62;0
A;2010;CO;Catalunya;;;4;Alt Urgell;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;908;9,67;0
A;2010;CO;Catalunya;;;4;Alt Urgell;;;;;PP         ;Partit Popular                                    ;684;7,29;0
A;2010;CO;Catalunya;;;4;Alt Urgell;;;;;ICV-EUiA   ;Iniciativa per Catalunya Verds - EUIA             ;442;4,71;0
A;2010;CO;Catalunya;;;4;Alt Urgell;;;;;SI;Solidaritat Catalana per la Independència;307;3,27;0
A;2010;CO;Catalunya;;;4;Alt Urgell;;;;;RI.cat;Reagrupament Independentista;107;1,14;0
A;2010;CO;Catalunya;;;4;Alt Urgell;;;;;C's        ;Ciutadans-Partido de la Ciudadanía                ;90;0,96;0
A;2010;CO;Catalunya;;;4;Alt Urgell;;;;;PxC        ;Plataforma per Catalunya                          ;84;0,89;0
A;2010;CO;Catalunya;;;4;Alt Urgell;;;;;Eb-CenB;Escons en blanc-Ciudadanos en Blanco;70;0,75;0
A;2010;CO;Catalunya;;;4;Alt Urgell;;;;;PACMA;Partit Antitaurí Contra el Maltractament Animal;22;0,23;0
A;2010;CO;Catalunya;;;4;Alt Urgell;;;;;DES DE BAIX;Des de Baix;22;0,23;0
A;2010;CO;Catalunya;;;4;Alt Urgell;;;;;EV-GVE      ;Els Verds - Grup Verd Europeu                     ;19;0,20;0
A;2010;CO;Catalunya;;;4;Alt Urgell;;;;;PIRATA.CAT;Pirates de Catalunya;19;0,20;0
A;2010;CO;Catalunya;;;4;Alt Urgell;;;;;PAR;Partido Aragonés;13;0,14;0
A;2010;CO;Catalunya;;;4;Alt Urgell;;;;;CORI;Coordinadora Reusenca Independent;11;0,12;0
A;2010;CO;Catalunya;;;4;Alt Urgell;;;;;BLOC.S.C;Bloc Sobiranista Català;8;0,09;0
A;2010;CO;Catalunya;;;4;Alt Urgell;;;;;PCPC       ;Partit Comunista del Poble de Catalunya           ;8;0,09;0
A;2010;CO;Catalunya;;;4;Alt Urgell;;;;;PxCat      ;Partit per Catalunya                              ;8;0,09;0
A;2010;CO;Catalunya;;;4;Alt Urgell;;;;;UPyD;Unión, Progreso y Democracia;7;0,07;0
A;2010;CO;Catalunya;;;4;Alt Urgell;;;;;PDLPEA     ;Partido de los Pensionistas en Acción             ;7;0,07;0
A;2010;CO;Catalunya;;;4;Alt Urgell;;;;;PFiV       ;Partit Família i Vida                             ;4;0,04;0
A;2010;CO;Catalunya;;;4;Alt Urgell;;;;;PUM+J      ;Por un Mundo Más Justo                            ;4;0,04;0
A;2010;CO;Catalunya;;;4;Alt Urgell;;;;;CDS;Centro Democràtico y Social;2;0,02;0
A;2010;CO;Catalunya;;;4;Alt Urgell;;;;;PH         ;Partit Humanista                                  ;2;0,02;0
A;2010;CO;Catalunya;;;4;Alt Urgell;;;;;FE-JONS    ;Falange Española de las J.O.N.S.                  ;2;0,02;0
A;2010;CO;Catalunya;;;4;Alt Urgell;;;;;MSR        ;Movimiento Social Republicano                     ;2;0,02;0
A;2010;CO;Catalunya;;;4;Alt Urgell;;;;;U.C.E.     ;Unificació Comunista d'Espanya                    ;1;0,01;0
A;2010;CO;Catalunya;;;4;Alt Urgell;;;;;P.J.P;Partit de Justícia i Progrés;1;0,01;0
A;2010;CO;Catalunya;;;5;Alta Ribagorça;;;;;CiU        ;Convergència i Unió                               ;809;46,23;0
A;2010;CO;Catalunya;;;5;Alta Ribagorça;;;;;PSC-PSOE   ;Partit dels Socialistes de Catalunya-PSOE         ;373;21,31;0
A;2010;CO;Catalunya;;;5;Alta Ribagorça;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;158;9,03;0
A;2010;CO;Catalunya;;;5;Alta Ribagorça;;;;;PP         ;Partit Popular                                    ;96;5,49;0
A;2010;CO;Catalunya;;;5;Alta Ribagorça;;;;;ICV-EUiA   ;Iniciativa per Catalunya Verds - EUIA             ;81;4,63;0
A;2010;CO;Catalunya;;;5;Alta Ribagorça;;;;;SI;Solidaritat Catalana per la Independència;55;3,14;0
A;2010;CO;Catalunya;;;5;Alta Ribagorça;;;;;C's        ;Ciutadans-Partido de la Ciudadanía                ;23;1,31;0
A;2010;CO;Catalunya;;;5;Alta Ribagorça;;;;;RI.cat;Reagrupament Independentista;22;1,26;0
A;2010;CO;Catalunya;;;5;Alta Ribagorça;;;;;Eb-CenB;Escons en blanc-Ciudadanos en Blanco;14;0,80;0
A;2010;CO;Catalunya;;;5;Alta Ribagorça;;;;;PACMA;Partit Antitaurí Contra el Maltractament Animal;11;0,63;0
A;2010;CO;Catalunya;;;5;Alta Ribagorça;;;;;PxC        ;Plataforma per Catalunya                          ;9;0,51;0
A;2010;CO;Catalunya;;;5;Alta Ribagorça;;;;;PIRATA.CAT;Pirates de Catalunya;8;0,46;0
A;2010;CO;Catalunya;;;5;Alta Ribagorça;;;;;EV-GVE      ;Els Verds - Grup Verd Europeu                     ;8;0,46;0
A;2010;CO;Catalunya;;;5;Alta Ribagorça;;;;;PUM+J      ;Por un Mundo Más Justo                            ;4;0,23;0
A;2010;CO;Catalunya;;;5;Alta Ribagorça;;;;;PAR;Partido Aragonés;3;0,17;0
A;2010;CO;Catalunya;;;5;Alta Ribagorça;;;;;PCPC       ;Partit Comunista del Poble de Catalunya           ;3;0,17;0
A;2010;CO;Catalunya;;;5;Alta Ribagorça;;;;;PFiV       ;Partit Família i Vida                             ;3;0,17;0
A;2010;CO;Catalunya;;;5;Alta Ribagorça;;;;;PDLPEA     ;Partido de los Pensionistas en Acción             ;3;0,17;0
A;2010;CO;Catalunya;;;5;Alta Ribagorça;;;;;BLOC.S.C;Bloc Sobiranista Català;2;0,11;0
A;2010;CO;Catalunya;;;5;Alta Ribagorça;;;;;DES DE BAIX;Des de Baix;2;0,11;0
A;2010;CO;Catalunya;;;5;Alta Ribagorça;;;;;UPyD;Unión, Progreso y Democracia;2;0,11;0
A;2010;CO;Catalunya;;;5;Alta Ribagorça;;;;;P.J.P;Partit de Justícia i Progrés;1;0,06;0
A;2010;CO;Catalunya;;;5;Alta Ribagorça;;;;;PH         ;Partit Humanista                                  ;1;0,06;0
A;2010;CO;Catalunya;;;5;Alta Ribagorça;;;;;PxCat      ;Partit per Catalunya                              ;1;0,06;0
A;2010;CO;Catalunya;;;5;Alta Ribagorça;;;;;CDS;Centro Democràtico y Social;0;0,00;0
A;2010;CO;Catalunya;;;5;Alta Ribagorça;;;;;MSR        ;Movimiento Social Republicano                     ;0;0,00;0
A;2010;CO;Catalunya;;;5;Alta Ribagorça;;;;;CORI;Coordinadora Reusenca Independent;0;0,00;0
A;2010;CO;Catalunya;;;5;Alta Ribagorça;;;;;U.C.E.     ;Unificació Comunista d'Espanya                    ;0;0,00;0
A;2010;CO;Catalunya;;;5;Alta Ribagorça;;;;;FE-JONS    ;Falange Española de las J.O.N.S.                  ;0;0,00;0
A;2010;CO;Catalunya;;;6;Anoia;;;;;CiU        ;Convergència i Unió                               ;21.750;42,89;0
A;2010;CO;Catalunya;;;6;Anoia;;;;;PSC-PSOE   ;Partit dels Socialistes de Catalunya-PSOE         ;8.374;16,51;0
A;2010;CO;Catalunya;;;6;Anoia;;;;;PP         ;Partit Popular                                    ;5.245;10,34;0
A;2010;CO;Catalunya;;;6;Anoia;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;3.823;7,54;0
A;2010;CO;Catalunya;;;6;Anoia;;;;;ICV-EUiA   ;Iniciativa per Catalunya Verds - EUIA             ;2.940;5,80;0
A;2010;CO;Catalunya;;;6;Anoia;;;;;SI;Solidaritat Catalana per la Independència;1.988;3,92;0
A;2010;CO;Catalunya;;;6;Anoia;;;;;PxC        ;Plataforma per Catalunya                          ;1.794;3,54;0
A;2010;CO;Catalunya;;;6;Anoia;;;;;C's        ;Ciutadans-Partido de la Ciudadanía                ;1.177;2,32;0
A;2010;CO;Catalunya;;;6;Anoia;;;;;RI.cat;Reagrupament Independentista;712;1,40;0
A;2010;CO;Catalunya;;;6;Anoia;;;;;EV-GVE      ;Els Verds - Grup Verd Europeu                     ;275;0,54;0
A;2010;CO;Catalunya;;;6;Anoia;;;;;PACMA;Partit Antitaurí Contra el Maltractament Animal;246;0,49;0
A;2010;CO;Catalunya;;;6;Anoia;;;;;Eb-CenB;Escons en blanc-Ciudadanos en Blanco;216;0,43;0
A;2010;CO;Catalunya;;;6;Anoia;;;;;PIRATA.CAT;Pirates de Catalunya;113;0,22;0
A;2010;CO;Catalunya;;;6;Anoia;;;;;GN;Gent Nostra;96;0,19;0
A;2010;CO;Catalunya;;;6;Anoia;;;;;CORI;Coordinadora Reusenca Independent;90;0,18;0
A;2010;CO;Catalunya;;;6;Anoia;;;;;DES DE BAIX;Des de Baix;85;0,17;0
A;2010;CO;Catalunya;;;6;Anoia;;;;;PDLPEA     ;Partido de los Pensionistas en Acción             ;52;0,10;0
A;2010;CO;Catalunya;;;6;Anoia;;;;;PCPC       ;Partit Comunista del Poble de Catalunya           ;38;0,07;0
A;2010;CO;Catalunya;;;6;Anoia;;;;;ALTERNATIVA;Alternativa de Govern;36;0,07;0
A;2010;CO;Catalunya;;;6;Anoia;;;;;FE-JONS    ;Falange Española de las J.O.N.S.                  ;33;0,07;0
A;2010;CO;Catalunya;;;6;Anoia;;;;;UPyD;Unión, Progreso y Democracia;33;0,07;0
A;2010;CO;Catalunya;;;6;Anoia;;;;;POSI       ;Partit Obrer Socialista Internacionalista         ;30;0,06;0
A;2010;CO;Catalunya;;;6;Anoia;;;;;PUM+J      ;Por un Mundo Más Justo                            ;26;0,05;0
A;2010;CO;Catalunya;;;6;Anoia;;;;;PCAS;Partido Castellano;24;0,05;0
A;2010;CO;Catalunya;;;6;Anoia;;;;;PRE-IR;Partit Republicà d'Esquerra-Izquierda Republicana;20;0,04;0
A;2010;CO;Catalunya;;;6;Anoia;;;;;PFiV       ;Partit Família i Vida                             ;17;0,03;0
A;2010;CO;Catalunya;;;6;Anoia;;;;;U.C.E.     ;Unificació Comunista d'Espanya                    ;13;0,03;0
A;2010;CO;Catalunya;;;6;Anoia;;;;;PH         ;Partit Humanista                                  ;9;0,02;0
A;2010;CO;Catalunya;;;6;Anoia;;;;;MSR        ;Movimiento Social Republicano                     ;9;0,02;0
A;2010;CO;Catalunya;;;7;Bages;;;;;CiU        ;Convergència i Unió                               ;37.891;45,80;0
A;2010;CO;Catalunya;;;7;Bages;;;;;PSC-PSOE   ;Partit dels Socialistes de Catalunya-PSOE         ;12.359;14,94;0
A;2010;CO;Catalunya;;;7;Bages;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;7.439;8,99;0
A;2010;CO;Catalunya;;;7;Bages;;;;;PP         ;Partit Popular                                    ;6.038;7,30;0
A;2010;CO;Catalunya;;;7;Bages;;;;;SI;Solidaritat Catalana per la Independència;4.654;5,63;0
A;2010;CO;Catalunya;;;7;Bages;;;;;ICV-EUiA   ;Iniciativa per Catalunya Verds - EUIA             ;4.582;5,54;0
A;2010;CO;Catalunya;;;7;Bages;;;;;PxC        ;Plataforma per Catalunya                          ;3.231;3,91;0
A;2010;CO;Catalunya;;;7;Bages;;;;;C's        ;Ciutadans-Partido de la Ciudadanía                ;1.481;1,79;0
A;2010;CO;Catalunya;;;7;Bages;;;;;RI.cat;Reagrupament Independentista;859;1,04;0
A;2010;CO;Catalunya;;;7;Bages;;;;;Eb-CenB;Escons en blanc-Ciudadanos en Blanco;441;0,53;0
A;2010;CO;Catalunya;;;7;Bages;;;;;PACMA;Partit Antitaurí Contra el Maltractament Animal;255;0,31;0
A;2010;CO;Catalunya;;;7;Bages;;;;;EV-GVE      ;Els Verds - Grup Verd Europeu                     ;231;0,28;0
A;2010;CO;Catalunya;;;7;Bages;;;;;DES DE BAIX;Des de Baix;226;0,27;0
A;2010;CO;Catalunya;;;7;Bages;;;;;CORI;Coordinadora Reusenca Independent;135;0,16;0
A;2010;CO;Catalunya;;;7;Bages;;;;;PIRATA.CAT;Pirates de Catalunya;134;0,16;0
A;2010;CO;Catalunya;;;7;Bages;;;;;PH         ;Partit Humanista                                  ;98;0,12;0
A;2010;CO;Catalunya;;;7;Bages;;;;;PDLPEA     ;Partido de los Pensionistas en Acción             ;65;0,08;0
A;2010;CO;Catalunya;;;7;Bages;;;;;PCPC       ;Partit Comunista del Poble de Catalunya           ;49;0,06;0
A;2010;CO;Catalunya;;;7;Bages;;;;;ALTERNATIVA;Alternativa de Govern;37;0,04;0
A;2010;CO;Catalunya;;;7;Bages;;;;;FE-JONS    ;Falange Española de las J.O.N.S.                  ;34;0,04;0
