ELECCIO;ANY;NIVELL;AUTONOMIA;CODI PROVÍNCIA;PROVÍNCIA;CODI COMARCA;COMARCA;CODI MUNICIPI;MUNICIPI;CODI DISTRICTE;DISTRICTE;CENS ELECTORAL;VOTANTS;% VOTANTS;ABSTENCIÓ;% ABSTENCIÓ;VOTS NULS;% VOTS NULS;VOTS EN BLANC;% VOTS EN BLANC;VOTS A CANDIDATURES;% VOTS A CANDIDATURES;VOTS VÀLIDS;% VOTS VÀLIDS
A;2010;MU;Catalunya;17;Girona;2;Alt Empordà;5;Far d Empordà, el;;;404;251;62,13;153;37,87;2;0,80;6;2,39;243;96,81;249;99,20
A;2010;MU;Catalunya;17;Girona;15;Cerdanya;6;Alp;;;1.162;739;63,60;423;36,40;16;2,17;11;1,49;712;96,35;723;97,83
A;2010;MU;Catalunya;17;Girona;34;Selva;7;Amer;;;1.800;1.165;64,72;635;35,28;22;1,89;30;2,58;1.113;95,54;1.143;98,11
A;2010;MU;Catalunya;17;Girona;34;Selva;8;Anglès;;;3.715;2.252;60,62;1.463;39,38;30;1,33;53;2,35;2.169;96,31;2.222;98,67
A;2010;MU;Catalunya;17;Girona;34;Selva;9;Arbúcies;;;4.101;2.625;64,01;1.476;35,99;30;1,14;92;3,50;2.503;95,35;2.595;98,86
A;2010;MU;Catalunya;17;Girona;19;Garrotxa;10;Argelaguer;;;331;212;64,05;119;35,95;4;1,89;8;3,77;200;94,34;208;98,11
A;2010;MU;Catalunya;17;Girona;2;Alt Empordà;11;Armentera, l;;;638;480;75,24;158;24,76;0;0,00;12;2,50;468;97,50;480;100,00
A;2010;MU;Catalunya;17;Girona;2;Alt Empordà;12;Avinyonet de Puigventós;;;1.080;580;53,70;500;46,30;4;0,69;21;3,62;555;95,69;576;99,31
A;2010;MU;Catalunya;17;Girona;10;Baix Empordà;13;Begur;;;2.769;1.692;61,11;1.077;38,89;26;1,54;47;2,78;1.619;95,69;1.666;98,46
A;2010;MU;Catalunya;17;Girona;2;Alt Empordà;14;Vajol, la;;;67;44;65,67;23;34,33;0;0,00;1;2,27;43;97,73;44;100,00
A;2010;MU;Catalunya;17;Girona;28;Pla de l'Estany;15;Banyoles;;;12.077;8.020;66,41;4.057;33,59;105;1,31;256;3,19;7.659;95,50;7.915;98,69
A;2010;MU;Catalunya;17;Girona;2;Alt Empordà;16;Bàscara;;;719;504;70,10;215;29,90;2;0,40;17;3,37;485;96,23;502;99,60
A;2010;MU;Catalunya;17;Girona;10;Baix Empordà;18;Bellcaire d Empordà;;;478;323;67,57;155;32,43;0;0,00;3;0,93;320;99,07;323;100,00
A;2010;MU;Catalunya;17;Girona;19;Garrotxa;19;Besalú;;;1.774;1.302;73,39;472;26,61;24;1,84;28;2,15;1.250;96,01;1.278;98,16
A;2010;MU;Catalunya;17;Girona;20;Gironès;20;Bescanó;;;3.384;2.279;67,35;1.105;32,65;25;1,10;67;2,94;2.187;95,96;2.254;98,90
A;2010;MU;Catalunya;17;Girona;19;Garrotxa;21;Beuda;;;114;88;77,19;26;22,81;1;1,14;1;1,14;86;97,73;87;98,86
A;2010;MU;Catalunya;17;Girona;10;Baix Empordà;22;Bisbal d Empordà, la;;;6.784;4.000;58,96;2.784;41,04;43;1,08;151;3,78;3.806;95,15;3.957;98,93
A;2010;MU;Catalunya;17;Girona;34;Selva;23;Blanes;;;26.937;14.958;55,53;11.979;44,47;129;0,86;452;3,02;14.377;96,12;14.829;99,14
A;2010;MU;Catalunya;17;Girona;15;Cerdanya;24;Bolvir;;;297;211;71,04;86;28,96;1;0,47;1;0,47;209;99,05;210;99,53
A;2010;MU;Catalunya;17;Girona;20;Gironès;25;Bordils;;;1.127;782;69,39;345;30,61;9;1,15;23;2,94;750;95,91;773;98,85
A;2010;MU;Catalunya;17;Girona;2;Alt Empordà;26;Borrassà;;;531;385;72,50;146;27,50;2;0,52;10;2,60;373;96,88;383;99,48
A;2010;MU;Catalunya;17;Girona;34;Selva;27;Breda;;;2.903;1.865;64,24;1.038;35,76;20;1,07;52;2,79;1.793;96,14;1.845;98,93
A;2010;MU;Catalunya;17;Girona;34;Selva;28;Brunyola;;;310;211;68,06;99;31,94;0;0,00;6;2,84;205;97,16;211;100,00
A;2010;MU;Catalunya;17;Girona;2;Alt Empordà;29;Boadella i les Escaules;;;194;143;73,71;51;26,29;1;0,70;1;0,70;141;98,60;142;99,30
A;2010;MU;Catalunya;17;Girona;2;Alt Empordà;30;Cabanes;;;627;374;59,65;253;40,35;6;1,60;9;2,41;359;95,99;368;98,40
A;2010;MU;Catalunya;17;Girona;2;Alt Empordà;31;Cabanelles;;;172;99;57,56;73;42,44;2;2,02;6;6,06;91;91,92;97;97,98
A;2010;MU;Catalunya;17;Girona;2;Alt Empordà;32;Cadaqués;;;1.597;894;55,98;703;44,02;3;0,34;20;2,24;871;97,43;891;99,66
A;2010;MU;Catalunya;17;Girona;34;Selva;33;Caldes de Malavella;;;5.121;2.761;53,92;2.360;46,08;23;0,83;82;2,97;2.656;96,20;2.738;99,17
A;2010;MU;Catalunya;17;Girona;10;Baix Empordà;34;Calonge;;;6.645;3.639;54,76;3.006;45,24;36;0,99;93;2,56;3.510;96,46;3.603;99,01
